route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868074,20163511multiint-0000010,48939724-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939804-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163511multiint-0000010,48939730-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939810-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163511multiint-0000010,48939736-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939816-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163511multiint-0000010,48939742-20163511multiint-0000010,"Place D'Youville (Est)",,0,,80740009,1
868074,20163511multiint-0000010,48939822-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868014,20163511multiint-0000010,48941038-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941122-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941050-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941134-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163511multiint-0000010,48940909-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940991-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940919-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48941001-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940929-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868014,20163511multiint-0000010,48941009-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941092-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163511multiint-0000010,48941020-20163511multiint-0000010,"Charlesbourg (Est)",,0,,80140018,1
868014,20163511multiint-0000010,48941104-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163511multiint-0000010,48940879-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940962-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940891-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940974-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940903-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940986-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163511multiint-0000010,48940914-20163511multiint-0000010,"Beauport (Est)",,0,,80040024,1
868004,20163511multiint-0000010,48940996-20163511multiint-0000010,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
